Timestamp,Name (Full Name),I identify as...,Which day would you prefer the date to be on?,I want to go on a...,I want a...,I am interested in...,I like to be adventurous.,I believe in true love.,I am confident.,I am looking for something serious.,I like to have intellectual conversations.,I like talking about my feelings and emotions.,I am an extrovert.,I care about the environment.,I like to dance.,I have a strong connection with religion.,"On a Friday night, I would be most likely out clubbing.",I believe being close to your family is important.,I like to travel.,I tend to swear a lot.,I am always very organised and tidy.,I believe commitment is the most important factor in a relationship.,I tend to prioritize my academic life over my social life.,I like discussing books or/and movies.,I am laid back.,I like sarcastic people.,I tend to base my decisions on feelings rather than rational thinking.,"In a heated argument, I am okay with being proven wrong and/or change my view based on what my opponent has said.",Healthy living is important to me.,I believe actions speak louder than words.,I am passionate about talking about politics,It's important for my partner to share the same morals as me.,I am a romantic.,I like to be adventurous.,I am confident.,I like to have intellectual conversations.,I like talking about my feelings and emotions.,I am an extrovert.,I care about the environment.,I like to dance.,I have a strong connection with religion.,"On a Friday night, I would be most likely out clubbing.",I believe being close to your family is important.,I like to travel.,I tend to swear a lot.,I am always very organised and tidy.,I tend to prioritize my academic life over my social life.,I like discussing books or/and movies.,I am laid back.,I like sarcastic people.,I tend to base my decisions on feelings rather than rational thinking.,"In a heated argument, I am okay with being proven wrong and/or change my view based on what my opponent has said.",Healthy living is important to me.,I believe actions speak louder than words.,I am passionate about talking about politics,It's important for my friends to share the same morals as me.,I am more interested in STEM subjects than humanities.,Email Address,Email ID ,Student ID,Which year are you in?,I would like to go on a date with someone who is...
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/13/2022 18:00:00,a,Woman,"Wednesday, 23rd Nov",Friend Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,3,2,4,5,4,1,4,5,4,4,2,3,5,3,5,2,3,3,5,3,5,2,smth,smth,212121,,
11/13/2022 18:00:01,b,Woman,"Wednesday, 23rd Nov",Friend Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,3,5,5,1,3,5,5,1,5,5,5,5,3,2,5,5,4,5,4,1,smth,smth,212122,,
11/13/2022 18:00:02,c,Woman,"Wednesday, 23rd Nov",Friend Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,3,3,2,3,4,1,4,3,5,4,2,2,5,4,5,3,3,2,3,2,4,1,smth,smth,212123,,
11/13/2022 18:00:03,d,Man,Either,Friend Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,1,3,3,4,3,4,3,4,3,5,3,4,4,4,2,3,3,smth,smth,212124,,
11/13/2022 18:00:04,e,Woman,"Wednesday, 23rd Nov",Friend Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,4,5,5,3,4,4,5,5,5,3,2,4,4,3,4,4,4,4,2,smth,smth,212125,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/13/2022 18:00:01,f,Man,"Wednesday, 23rd Nov",Romantic Date,One-on-one date,Men,3,3,2,4,3,1,1,3,1,3,1,3,5,1,3,5,4,2,3,3,2,3,3,5,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,smth,smth,212129,2nd Year,Open to any year
11/13/2022 18:00:01,g,Woman,"Wednesday, 23rd Nov",Friend Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,4,4,3,3,3,1,2,4,5,1,3,4,4,4,2,4,4,4,4,2,4,1,smth,smth,212130,1st Year,Same year as me
11/13/2022 18:00:01,h,Man,"Thursday, 24th Nov",Romantic Date,One-on-one date,Women,3,4,1,4,4,5,3,3,2,1,3,5,5,4,4,3,3,4,2,4,2,4,3,4,2,4,5,,,,,,,,,,,,,,,,,,,,,,,,,smth,smth,212131,1st Year,Same year as me
11/13/2022 18:00:01,i,Woman,"Thursday, 24th Nov",Romantic Date,One-on-one date,Women,4,4,4,4,5,2,4,5,1,2,3,2,5,2,4,4,2,2,3,4,2,4,3,4,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,smth,smth,212132,2nd Year,Open to any year
11/13/2022 18:00:01,j,Woman,"Wednesday, 23rd Nov",Romantic Date,Double date (Matched with another date pair),Men,4,3,4,3,5,2,4,2,3,3,5,4,4,4,5,4,5,3,4,4,1,2,5,5,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,smth,smth,212133,3rd Year,Same year as me
11/13/2022 18:00:01,k,Man,Either,Romantic Date,One-on-one date,Women,3,4,3,5,5,2,2,3,1,1,1,2,4,4,2,5,3,4,2,5,2,4,4,4,3,5,4,,,,,,,,,,,,,,,,,,,,,,,,,smth,smth,212134,Postgraduate,Open to any year
11/13/2022 18:00:01,l,Man,"Wednesday, 23rd Nov",Romantic Date,One-on-one date,Women,5,4,4,4,1,3,4,2,2,2,1,4,5,2,1,5,2,4,5,4,2,5,4,5,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,smth,smth,212135,1st Year,Same year as me
11/13/2022 18:00:01,m,Man,Either,Romantic Date,Double date (Matched with another date pair),Women,5,4,4,3,4,3,3,3,4,2,3,5,4,3,3,4,2,3,4,4,3,3,4,5,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,smth,smth,212136,2nd Year,Open to any year
11/13/2022 18:00:01,n,Man,"Wednesday, 23rd Nov",Romantic Date,One-on-one date,Women,3,4,4,4,4,4,3,4,3,2,3,4,5,2,4,4,3,4,2,3,3,4,4,4,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,smth,smth,212137,3rd Year,Open to any year
11/13/2022 18:00:01,o,Man,Either,Romantic Date,One-on-one date,Women,3,3,4,4,5,4,3,4,3,3,1,4,4,2,5,4,3,5,4,4,2,5,5,5,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,smth,smth,212138,1st Year,Same year as me
11/13/2022 18:00:01,p,Man,Either,Romantic Date,One-on-one date,Women,5,4,5,3,4,4,4,2,4,3,4,5,5,1,3,3,3,4,2,1,3,5,4,4,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,smth,smth,212139,,
11/13/2022 18:00:01,q,Woman,"Thursday, 24th Nov",Romantic Date,One-on-one date,Men,4,5,3,4,4,3,2,3,3,1,3,4,5,1,4,5,4,4,2,4,2,4,5,3,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,,smth,smth,212140,3rd Year,Same year as me
11/13/2022 18:00:01,r,Woman,"Wednesday, 23rd Nov",Friend Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,2,5,2,2,2,1,5,1,5,5,2,1,2,3,4,4,2,3,3,1,5,2,smth,smth,212141,1st Year,Same year as me
11/13/2022 18:00:01,s,Woman,"Wednesday, 23rd Nov",Friend Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,2,3,3,4,3,3,5,5,2,4,3,5,4,5,2,2,2,4,3,4,1,smth,smth,212142,1st Year,Open to any year
11/13/2022 18:00:01,t,Woman,"Thursday, 24th Nov",Romantic Date,Double date (Matched with another date pair),Men,4,3,5,3,4,5,5,3,5,1,5,4,5,4,3,4,2,5,3,4,3,2,3,4,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,smth,smth,212143,1st Year,Open to any year
11/13/2022 18:00:01,u,Woman,"Thursday, 24th Nov",Romantic Date,Double date (Matched with another date pair),Men,4,4,4,3,5,5,4,4,5,1,3,4,4,2,3,3,2,5,3,4,3,3,3,4,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,smth,smth,212144,1st Year,Open to any year
