Timestamp,Email Address,Name (Full Name),Email ID,Student ID,I identify as...,Which day would you prefer the date to be on?,Which year are you in?,I would like to go on a date with someone who is...,I want to go on a...,I want a...,I am interested in...,I like to be adventurous.,I believe in true love.,I am confident.,I am looking for something serious.,I like to have intellectual conversations.,I like talking about my feelings and emotions.,I am an extrovert.,I care about the environment.,I like to dance.,I have a strong connection with religion.,"On a Friday night, I would be most likely out clubbing.",I believe being close to your family is important.,I like to travel.,I tend to swear a lot.,I am always very organised and tidy.,I believe commitment is the most important factor in a relationship.,I tend to prioritize my academic life over my social life.,I like discussing books or/and movies.,I am laid back.,I like sarcastic people.,I tend to base my decisions on feelings rather than rational thinking.,"In a heated argument, I am okay with being proven wrong and/or change my view based on what my opponent has said.",Healthy living is important to me.,I believe actions speak louder than words.,I am passionate about talking about politics,It's important for my partner to share the same morals as me.,I am a romantic.,I like to be adventurous.,I am confident.,I like to have intellectual conversations.,I like talking about my feelings and emotions.,I am an extrovert.,I care about the environment.,I like to dance.,I have a strong connection with religion.,"On a Friday night, I would be most likely out clubbing.",I believe being close to your family is important.,I like to travel.,I tend to swear a lot.,I am always very organised and tidy.,I tend to prioritize my academic life over my social life.,I like discussing books or/and movies.,I am laid back.,I like sarcastic people.,I tend to base my decisions on feelings rather than rational thinking.,"In a heated argument, I am okay with being proven wrong and/or change my view based on what my opponent has said.",Healthy living is important to me.,I believe actions speak louder than words.,I am passionate about talking about politics,It's important for my friends to share the same morals as me.,I am more interested in STEM subjects than humanities.
11/13/2022 18:23:50,IB76@warwick.ac.uk,IB76,IB76@warwick.ac.uk,23823,Woman,"Wednesday, 23rd Nov",,,Friend Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,3,2,4,5,4,1,4,5,4,4,2,3,5,3,5,2,3,3,5,3,5,2
11/13/2022 18:26:06,QF34@warwick.ac.uk,QF34,QF34@warwick.ac.uk,22129,Woman,"Wednesday, 23rd Nov",,,Friend Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,3,5,5,1,3,5,5,1,5,5,5,5,3,2,5,5,4,5,4,1
11/13/2022 18:26:14,IM96@warwick.ac.uk,IM96,IM96@warwick.ac.uk,21894,Woman,"Wednesday, 23rd Nov",,,Friend Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,3,3,2,3,4,1,4,3,5,4,2,2,5,4,5,3,3,2,3,2,4,1
11/13/2022 19:41:48,RD70@warwick.ac.uk,RD70,RD70@warwick.ac.uk,27004,Man,Either,,,Friend Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,1,3,3,4,3,4,3,4,3,5,3,4,4,4,2,3,3
11/13/2022 20:20:52,CR68@warwick.ac.uk,CR68,CR68@warwick.ac.uk,20818,Woman,"Wednesday, 23rd Nov",,,Friend Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,4,5,5,3,4,4,5,5,5,3,2,4,4,3,4,4,4,4,2
11/13/2022 21:58:42,UD45@warwick.ac.uk,UD45,UD45@warwick.ac.uk,28793,Man,"Wednesday, 23rd Nov",2nd Year,Open to any year,Romantic Date,One-on-one date,Men,3,3,2,4,3,1,1,3,1,3,1,3,5,1,3,5,4,2,3,3,2,3,3,5,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,
11/13/2022 22:02:35,PJ32@warwick.ac.uk,PJ32,PJ32@warwick.ac.uk,27628,Woman,"Wednesday, 23rd Nov",1st Year,Same year as me,Friend Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,4,4,3,3,3,1,2,4,5,1,3,4,4,4,2,4,4,4,4,2,4,1
11/13/2022 22:10:01,TZ38@warwick.ac.uk,TZ38,TZ38@warwick.ac.uk,20145,Man,"Thursday, 24th Nov",1st Year,Same year as me,Romantic Date,One-on-one date,Women,3,4,1,4,4,5,3,3,2,1,3,5,5,4,4,3,3,4,2,4,2,4,3,4,2,4,5,,,,,,,,,,,,,,,,,,,,,,,,
11/13/2022 22:18:06,TS39@warwick.ac.uk,TS39,TS39@warwick.ac.uk,23212,Woman,"Thursday, 24th Nov",2nd Year,Open to any year,Romantic Date,One-on-one date,Women,4,4,4,4,5,2,4,5,1,2,3,2,5,2,4,4,2,2,3,4,2,4,3,4,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,
11/13/2022 22:20:33,YR47@warwick.ac.uk,YR47,YR47@warwick.ac.uk,21056,Woman,"Wednesday, 23rd Nov",3rd Year,Same year as me,Romantic Date,Double date (Matched with another date pair),Men,4,3,4,3,5,2,4,2,3,3,5,4,4,4,5,4,5,3,4,4,1,2,5,5,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,
11/13/2022 22:24:29,WO30@warwick.ac.uk,WO30,WO30@warwick.ac.uk,28212,Man,Either,Postgraduate,Open to any year,Romantic Date,One-on-one date,Women,3,4,3,5,5,2,2,3,1,1,1,2,4,4,2,5,3,4,2,5,2,4,4,4,3,5,4,,,,,,,,,,,,,,,,,,,,,,,,
11/13/2022 22:34:47,CD57@warwick.ac.uk,CD57,CD57@warwick.ac.uk,26187,Man,"Wednesday, 23rd Nov",1st Year,Same year as me,Romantic Date,One-on-one date,Women,5,4,4,4,1,3,4,2,2,2,1,4,5,2,1,5,2,4,5,4,2,5,4,5,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,
11/13/2022 22:36:18,SN69@warwick.ac.uk,SN69,SN69@warwick.ac.uk,21005,Man,Either,2nd Year,Open to any year,Romantic Date,Double date (Matched with another date pair),Women,5,4,4,3,4,3,3,3,4,2,3,5,4,3,3,4,2,3,4,4,3,3,4,5,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,
11/13/2022 22:42:57,TQ64@warwick.ac.uk,TQ64,TQ64@warwick.ac.uk,27566,Man,"Wednesday, 23rd Nov",3rd Year,Open to any year,Romantic Date,One-on-one date,Women,3,4,4,4,4,4,3,4,3,2,3,4,5,2,4,4,3,4,2,3,3,4,4,4,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,
